Date,Price,Open,High,Low,Vol.,Change %
2021-04-26,63.53,63.53,63.53,63.53,,-0.14%
2021-04-23,63.62,63.62,63.62,63.62,,0.79%
2021-04-22,63.12,63.12,63.12,63.12,,0.90%
2021-04-21,62.56,62.56,62.56,62.56,,0.18%
2021-04-20,62.45,62.45,62.45,62.45,,-3.01%
2021-04-19,64.39,64.39,64.39,64.39,,0.70%
2021-04-16,63.94,63.94,63.94,63.94,,0.30%
2021-04-15,63.75,63.75,63.75,63.75,,-0.06%
2021-04-14,63.79,63.79,63.79,63.79,,4.52%
2021-04-13,61.03,61.03,61.03,61.03,,0.58%
2021-04-12,60.68,60.68,60.68,60.68,,1.03%
2021-04-09,60.06,60.06,60.06,60.06,,0.55%
2021-04-08,59.73,59.73,59.73,59.73,,1.67%
2021-04-07,58.75,58.75,58.75,58.75,,-2.49%
2021-04-06,60.25,60.25,60.25,60.25,,-0.17%
2021-04-05,60.35,60.35,60.35,60.35,,0.00%
2021-04-02,60.35,60.35,60.35,60.35,,0.00%
2021-04-01,60.35,60.35,60.35,60.35,,-2.08%
2021-03-31,61.63,61.63,61.63,61.63,,-0.68%
2021-03-30,62.05,62.05,62.05,62.05,,0.50%
2021-03-29,61.74,61.74,61.74,61.74,,-0.98%
2021-03-26,62.35,62.35,62.35,62.35,,4.11%
2021-03-25,59.89,59.89,59.89,59.89,,-3.65%
2021-03-24,62.16,62.16,62.16,62.16,,3.24%
2021-03-23,60.21,60.21,60.21,60.21,,-3.34%
2021-03-22,62.29,62.29,62.29,62.29,,0.32%
2021-03-19,62.09,62.09,62.09,62.09,,-1.96%
2021-03-18,63.33,63.33,63.33,63.33,,-3.52%
2021-03-17,65.64,65.64,65.64,65.64,,-0.62%
2021-03-16,66.05,66.05,66.05,66.05,,-1.29%
2021-03-15,66.91,66.91,66.91,66.91,,-1.04%
2021-03-12,67.61,67.61,67.61,67.61,,-0.43%
2021-03-11,67.9,67.9,67.9,67.9,,3.74%
2021-03-10,65.45,65.45,65.45,65.45,,-0.62%
2021-03-09,65.86,65.86,65.86,65.86,,-2.28%
2021-03-08,67.4,67.4,67.4,67.4,,-0.98%
2021-03-05,68.07,68.07,68.07,68.07,,2.47%
2021-03-04,66.43,66.43,66.43,66.43,,4.71%
2021-03-03,63.44,63.44,63.44,63.44,,1.20%
