Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
Morris County (North)--Dover Town & Kinnelon Borough PUMA; New Jersey,2457,0,1335,715,109,298,0,0,0,0,0,0,0,0
Suffolk County (Southwest)--Islip Town (South) PUMA; New York,2383,0,820,239,106,1218,0,0,0,0,0,0,0,0
Morris County (East)--Lincoln Park Borough PUMA; New Jersey,1831,0,255,1385,90,101,0,0,0,0,0,0,0,0
Jefferson & Lewis Counties PUMA; New York,89,0,0,0,89,0,0,0,0,0,0,0,0,0
Suffolk County (Central)--Brookhaven Town (Central) PUMA; New York,1410,0,298,0,87,1025,0,0,0,0,0,0,0,0
Suffolk County (South Central)--Brookhaven Town (South) PUMA; New York,1491,0,459,0,85,947,0,0,0,0,0,0,0,0
Western North PUMA; Connecticut,1817,0,1313,0,83,363,58,0,0,0,0,0,0,0
Monmouth County (Northwest)--Matawan & Aberdeen PUMA; New Jersey,3030,0,1270,986,79,285,0,324,0,0,86,0,0,0
Middlesex County (East Central)--Perth Amboy & Sayreville PUMA; New Jersey,1512,0,114,1325,73,0,0,0,0,0,0,0,0,0
Orange County (Northeast)--Greater Newburgh City PUMA; New York,2869,0,1358,804,69,638,0,0,0,0,0,0,0,0
Morris County (West) PUMA; New Jersey,1629,0,362,464,68,686,0,0,0,0,0,0,0,49
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood PUMA; New Jersey",4677,0,1160,1895,62,1480,0,80,0,0,0,0,0,0
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes PUMA; New Jersey",2295,0,1496,745,54,0,0,0,0,0,0,0,0,0
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",5675,0,3753,1066,54,802,0,0,0,0,0,0,0,0
Mercer County (West Central)--Trenton City PUMA; New Jersey,277,0,0,149,44,84,0,0,0,0,0,0,0,0
Ocean County (Northeast)--Brick & Point Pleasant PUMA; New Jersey,1242,0,671,340,43,155,0,0,0,0,0,0,0,33
Suffolk County (North Central)--Brookhaven Town (North) PUMA; New York,1596,0,435,10,34,965,0,0,0,0,59,93,0,0
Hunterdon County PUMA; New Jersey,1578,0,739,226,13,600,0,0,0,0,0,0,0,0
Hartford Town PUMA; Connecticut,40,0,40,0,0,0,0,0,0,0,0,0,0,0
Connecticut River North PUMA; Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capitol East PUMA; Connecticut,152,0,152,0,0,0,0,0,0,0,0,0,0,0
"East Hartford, Manchester & Vernon Towns PUMA; Connecticut",66,0,66,0,0,0,0,0,0,0,0,0,0,0
"Glastonbury, Wethersfield, Rocky Hill & Newington Towns PUMA; Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Britain, Southington, Berlin & Plainville Towns PUMA; Connecticut",49,0,0,0,0,0,0,0,0,0,0,0,0,49
Capitol West PUMA; Connecticut,352,0,229,62,0,61,0,0,0,0,0,0,0,0
Northeastern Planning Region & Stafford Town PUMA; Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoreline Southeastern PUMA; Connecticut,78,0,0,0,0,0,0,0,78,0,0,0,0,0
Inland Southeastern PUMA; Connecticut,53,0,0,0,0,0,0,0,0,0,0,53,0,0
New Haven Town PUMA; Connecticut,346,0,0,346,0,0,0,0,0,0,0,0,0,0
South Central West PUMA; Connecticut,459,0,64,0,0,395,0,0,0,0,0,0,0,0
South Central North PUMA; Connecticut,691,0,609,0,0,82,0,0,0,0,0,0,0,0
South Central East PUMA; Connecticut,246,0,206,0,0,40,0,0,0,0,0,0,0,0
Waterbury Town PUMA; Connecticut,167,0,167,0,0,0,0,0,0,0,0,0,0,0
Naugatuck Valley North PUMA; Connecticut,250,0,194,0,0,56,0,0,0,0,0,0,0,0
Bridgeport Town PUMA; Connecticut,39,0,0,0,0,39,0,0,0,0,0,0,0,0
Bridgeport Suburban PUMA; Connecticut,2293,0,874,192,0,1227,0,0,0,0,0,0,0,0
"Atlantic County (East)--Atlantic City, Pleasantville, Northfield & Coast PUMA; New Jersey",147,0,0,0,0,91,0,56,0,0,0,0,0,0
